id,Side,Position,Title,Date,Album,Duration,Songwriter,LeadVocal,Single,UCM_T50,RS_T100,NME_Rank,USA_Today_rank,RYM,AOTY,Spotify
1,A,1,I Saw Her Standing There,3/22/1963,Please Please Me,175,McCartney,McCartney,0,17,16,28,17,4.14,84,190478793
2,A,2,Misery,3/22/1963,Please Please Me,107,Lennon-McCartney,Lennon-McCartney,0,,,156,177,3.54,74,18507350
3,A,3,Anna (Go to Him),3/22/1963,Please Please Me,168,Cover,Lennon,0,,,,,3.63,76,47967239
4,A,4,Chains,3/22/1963,Please Please Me,143,Cover,Harrison,0,,,,,3.13,66,11607495
5,A,5,Boys,3/22/1963,Please Please Me,144,Cover,Starr,0,,,,,3.18,66,14823209
6,A,6,Ask Me Why,1/11/1963,Please Please Me,144,Lennon,Lennon,2,,,181,172,3.39,72,15184472
7,A,7,Please Please Me,1/11/1963,Please Please Me,120,Lennon,Lennon-McCartney,1,19,20,55,28,3.94,79,65016251
8,B,1,Love Me Do,10/5/1962,Please Please Me,142,McCartney,Lennon-McCartney,1,,87,160,86,3.76,77,247871041
9,B,2,P.S. I Love You,10/5/1962,Please Please Me,126,McCartney,McCartney,2,,,91,166,3.29,68,19156461
10,B,3,Baby It's You,3/22/1963,Please Please Me,162,Cover,Lennon,0,,,,,3.34,71,39944700
11,B,4,Do You Want to Know a Secret?,3/22/1963,Please Please Me,116,Lennon,Harrison,0,,,113,88,3.65,76,79556076
12,B,5,A Taste of Honey,3/22/1963,Please Please Me,163,Cover,McCartney,0,,,,,3.15,66,12403092
13,B,6,There's a Place,3/22/1963,Please Please Me,109,Lennon,Lennon,0,,,158,168,3.36,68,12955961
14,B,7,Twist and Shout,3/22/1963,Please Please Me,125,Cover,Lennon,0,25,,,,4.22,86,547933232
15,,,From Me to You,4/11/1963,Single,116,Lennon-McCartney,Lennon-McCartney,1,44,72,40,149,3.82,72,65973305
16,,,Thank You Girl,4/11/1963,Single,121,Lennon-McCartney,Lennon,2,,,171,175,3.27,72,3442591
17,,,She Loves You,8/23/1963,Single,138,Lennon-McCartney,Lennon-McCartney,1,14,14,42,60,4.24,81,173999730
18,,,I'll Get You,8/23/1963,Single,124,Lennon-McCartney,Lennon-McCartney,2,,,164,163,3.23,,3990299
19,A,1,It Won't Be Long,11/22/1963,With the Beatles,133,Lennon,Lennon,0,,53,73,81,3.81,76,34790706
20,A,2,All I've Got to Do,11/22/1963,With the Beatles,124,Lennon,Lennon,0,,97,99,167,3.59,74,34969368
21,A,3,All My Loving,11/22/1963,With the Beatles,124,McCartney,McCartney,0,46,44,9,29,4.15,84,194948499
22,A,4,Don't Bother Me,11/22/1963,With the Beatles,149,Harrison,Harrison,0,,,174,154,3.42,72,28875829
23,A,5,Little Child,11/22/1963,With the Beatles,108,Lennon-McCartney,Lennon-McCartney,0,,,180,171,2.79,47,7274023
24,A,6,Till There Was You,11/22/1963,With the Beatles,136,Cover,McCartney,0,,,,,3.59,76,87007517
25,A,7,Please Mr. Postman,11/22/1963,With the Beatles,156,Cover,Lennon,0,,,,,3.63,74,30695743
26,B,1,Roll Over Beethoven,11/22/1963,With the Beatles,168,Cover,Harrison,0,,,,,3.3,67,38500874
27,B,2,Hold Me Tight,11/22/1963,With the Beatles,152,McCartney,McCartney,0,,,159,169,3.2,65,12649634
28,B,3,You've Really Got a Hold on Me,11/22/1963,With the Beatles,182,Cover,Lennon-Harrison,0,,,,,3.41,68,39170251
29,B,4,I Wanna Be Your Man,11/22/1963,With the Beatles,103,Lennon-McCartney,Starr,0,,,139,156,3.18,59,11838938
30,B,5,Devil in Her Heart,11/22/1963,With the Beatles,147,Cover,Harrison,0,,,,,3.18,65,11204357
31,B,6,Not a Second Time,11/22/1963,With the Beatles,128,Lennon,Lennon,0,,,178,170,3.17,64,10083025
32,B,7,Money (That's What I Want),11/22/1963,With the Beatles,167,Cover,Lennon,0,,,,,3.38,66,13683761
33,,,I Want to Hold Your Hand,11/29/1963,Single,144,Lennon-McCartney,Lennon-McCartney,1,9,2,27,18,4.17,81,449867220
34,,,This Boy,11/29/1963,Single,133,Lennon,Lennon,2,38,,163,120,3.71,84,22593287
35,A,1,A Hard Day's Night,6/26/1964,A Hard Day's Night,152,Lennon,Lennon-McCartney,1,18,11,33,15,4.34,89,231639298
36,A,2,I Should Have Known Better,6/26/1964,A Hard Day's Night,164,Lennon,Lennon,0,,36,78,107,3.88,79,57865850
37,A,3,If I Fell,6/26/1964,A Hard Day's Night,142,Lennon,Lennon-McCartney,0,,26,54,58,3.94,83,91325420
38,A,4,I'm Happy Just to Dance with You,6/26/1964,A Hard Day's Night,118,Lennon,Harrison,0,,,143,138,3.65,78,39315472
39,A,5,And I Love Her,6/26/1964,A Hard Day's Night,152,McCartney,McCartney,0,,65,110,106,4.14,86,229377222
40,A,6,Tell Me Why,6/26/1964,A Hard Day's Night,130,Lennon,Lennon,0,,,126,111,3.59,75,14378285
41,A,7,Can't Buy Me Love,3/20/1964,A Hard Day's Night,131,McCartney,McCartney,1,21,29,32,14,4.09,83,174096905
42,B,1,Any Time at All,6/26/1964,A Hard Day's Night,133,Lennon,Lennon,0,,95,86,145,3.67,76,13865938
43,B,2,I'll Cry Instead,6/26/1964,A Hard Day's Night,129,Lennon,Lennon,0,,,168,94,3.29,68,9733291
44,B,3,Things We Said Today,6/26/1964,A Hard Day's Night,158,McCartney,McCartney,2,,47,114,143,3.72,77,35855960
45,B,4,When I Get Home,6/26/1964,A Hard Day's Night,138,Lennon,Lennon,0,,,166,160,3.23,68,8216736
46,B,5,You Can't Do That,3/20/1964,A Hard Day's Night,157,Lennon,Lennon,2,,70,131,108,3.53,72,13181357
47,B,6,I'll Be Back,6/26/1964,A Hard Day's Night,140,Lennon,Lennon,0,,,142,93,3.69,77,16228810
48,,,I Feel Fine,11/23/1964,Single,145,Lennon,Lennon,1,47,42,82,46,4.12,79,110588601
49,,,She's a Woman,11/23/1964,Single,183,Lennon,Lennon,2,,,157,130,3.98,,6661367
50,A,1,No Reply,12/4/1964,Beatles for Sale,135,Lennon,Lennon,0,,45,79,83,3.89,80,37241894
51,A,2,I'm a Loser,12/4/1964,Beatles for Sale,151,Lennon,Lennon,0,,71,83,72,3.69,75,12948042
52,A,3,Baby's in Black,12/4/1964,Beatles for Sale,122,Lennon-McCartney,Lennon-McCartney,0,,,112,59,3.44,70,10417624
53,A,4,Rock and Roll Music,12/4/1964,Beatles for Sale,150,Cover,Lennon,0,,,,,3.35,69,21112194
54,A,5,I'll Follow the Sun,12/4/1964,Beatles for Sale,106,McCartney,McCartney,0,,79,58,27,3.8,78,74237605
55,A,6,Mr. Moonlight,12/4/1964,Beatles for Sale,155,Cover,Lennon,0,,,,,3.01,63,8848419
56,A,7,"Kansas City/Hey, Hey, Hey, Hey",12/4/1964,Beatles for Sale,163,Cover,McCartney,0,,,,,3.1,62,8302276
57,B,1,Eight Days a Week,12/4/1964,Beatles for Sale,164,McCartney,Lennon,0,28,34,80,80,4.02,81,156858593
58,B,2,Words of Love,12/4/1964,Beatles for Sale,122,Cover,Lennon-McCartney,0,,,,,3.19,64,13079997
59,B,3,Honey Don't,12/4/1964,Beatles for Sale,173,Cover,Starr,0,,,,,2.84,55,7073551
60,B,4,Every Little Thing,12/4/1964,Beatles for Sale,121,Lennon,Lennon,0,,91,129,159,3.34,65,9071871
61,B,5,I Don't Want to Spoil the Party,12/4/1964,Beatles for Sale,153,Lennon,Lennon-Harrison,0,,,127,161,3.32,68,7483030
62,B,6,What You're Doing,12/4/1964,Beatles for Sale,150,McCartney,McCartney,0,,,154,164,3.39,67,8061890
63,B,7,Everybody's Trying to Be My Baby,12/4/1964,Beatles for Sale,143,Cover,Harrison,0,,,,,3,60,7670733
64,,,Yes It Is,4/9/1965,Single,161,Lennon,Lennon,2,,99,92,137,3.58,,7192135
65,,,I'm Down,7/19/1965,Single,153,McCartney,McCartney,2,,56,161,104,3.8,,4888965
66,A,1,Help!,7/19/1965,Help!,138,Lennon,Lennon,1,13,15,24,8,4.43,93,342122195
67,A,2,The Night Before,8/6/1965,Help!,153,McCartney,McCartney,0,,49,81,133,3.82,81,39486211
68,A,3,You've Got to Hide Your Love Away,8/6/1965,Help!,131,Lennon,Lennon,0,42,31,51,37,4.06,83,140134551
69,A,4,I Need You,8/6/1965,Help!,148,Harrison,Harrison,0,,,145,139,3.59,77,27091366
70,A,5,Another Girl,8/6/1965,Help!,124,McCartney,McCartney,0,,,105,112,3.4,74,15387217
71,A,6,You're Going to Lose That Girl,8/6/1965,Help!,140,Lennon,Lennon,0,,27,69,97,3.71,77,43554323
72,A,7,Ticket to Ride,4/9/1965,Help!,190,Lennon,Lennon,1,10,17,60,19,4.3,88,168841405
73,B,1,Act Naturally,8/6/1965,Help!,139,Cover,Starr,0,,,,,3.2,68,14277494
74,B,2,It's Only Love,8/6/1965,Help!,115,Lennon,Lennon,0,,,124,109,3.52,74,21711444
75,B,3,You Like Me Too Much,8/6/1965,Help!,155,Harrison,Harrison,0,,,150,176,3.29,72,12134713
76,B,4,Tell Me What You See,8/6/1965,Help!,156,McCartney,McCartney,0,,,148,146,3.31,72,11116115
77,B,5,I've Just Seen a Face,8/6/1965,Help!,127,McCartney,McCartney,0,,58,47,122,4.02,83,79424563
78,B,6,Yesterday,8/6/1965,Help!,123,McCartney,McCartney,0,12,4,14,6,4.57,96,706211653
79,B,7,"Dizzy, Miss Lizzy",8/6/1965,Help!,145,Cover,Lennon,0,,,,,3.18,65,11490807
80,,,We Can Work It Out,12/3/1965,Single,135,Lennon-McCartney,Lennon,1,36,30,10,40,4.32,85,130718315
81,,,Day Tripper,12/3/1965,Single,170,Lennon,Lennon-McCartney,1,30,39,59,34,4.3,85,184671273
82,A,1,Drive My Car,12/3/1965,Rubber Soul,148,McCartney,Lennon-McCartney,0,43,43,64,39,4.17,89,120269962
83,A,2,Norwegian Wood (This Bird Has Flown),12/3/1965,Rubber Soul,125,Lennon,Lennon,0,15,12,43,11,4.45,92,228309942
84,A,3,You Won't See Me,12/3/1965,Rubber Soul,202,McCartney,McCartney,0,,94,50,128,4.07,86,44715403
85,A,4,Nowhere Man,12/3/1965,Rubber Soul,164,Lennon,Lennon,0,40,66,36,36,4.36,91,99160564
86,A,5,Think for Yourself,12/3/1965,Rubber Soul,138,Harrison,Harrison,0,,75,132,157,3.88,84,23354799
87,A,6,The Word,12/3/1965,Rubber Soul,161,Lennon-McCartney,Lennon-McCartney,0,,,138,113,3.72,81,21171086
88,A,7,Michelle,12/3/1965,Rubber Soul,160,McCartney,McCartney,0,,,88,45,4.23,91,156301429
89,B,1,What Goes On,12/3/1965,Rubber Soul,170,Lennon-McCartney-Starr,Starr,0,,,172,173,3.47,77,18589904
90,B,2,Girl,12/3/1965,Rubber Soul,153,Lennon,Lennon,0,,62,116,38,4.1,87,91291304
91,B,3,I'm Looking Through You,12/3/1965,Rubber Soul,147,McCartney,McCartney,0,,,84,96,4.07,85,55471542
92,B,4,In My Life,12/3/1965,Rubber Soul,148,Lennon-McCartney,Lennon,0,5,5,16,2,4.59,95,454904255
93,B,5,Wait,12/3/1965,Rubber Soul,136,Lennon-McCartney,Lennon-McCartney,0,,,128,136,3.88,84,21377477
94,B,6,If I Needed Someone,12/3/1965,Rubber Soul,143,Harrison,Harrison,0,,51,134,132,4.01,85,23693516
95,B,7,Run for Your Life,12/3/1965,Rubber Soul,138,Lennon,Lennon,0,,,176,135,3.54,74,36977287
96,,,Paperback Writer,5/30/1966,Single,138,McCartney,McCartney,1,33,35,8,42,4.28,90,80206226
97,,,Rain,5/30/1966,Single,179,Lennon,Lennon,2,24,88,31,75,3.86,90,14386689
98,A,1,Taxman,8/5/1966,Revolver,159,Harrison,Harrison,0,35,55,37,25,4.27,91,60802259
99,A,2,Eleanor Rigby,8/5/1966,Revolver,128,McCartney,McCartney,1,16,22,12,12,4.63,96,298347510
100,A,3,I'm Only Sleeping,8/5/1966,Revolver,182,Lennon,Lennon,0,,57,45,48,4.48,93,63960219
101,A,4,Love You To,8/5/1966,Revolver,181,Harrison,Harrison,0,,,62,174,3.93,85,22741317
102,A,5,"Here, There and Everywhere",8/5/1966,Revolver,145,McCartney,McCartney,0,,25,34,54,4.36,93,106292871
103,A,6,Yellow Submarine,8/5/1966,Revolver,158,McCartney,Starr,1,41,74,118,142,3.78,81,152209227
104,A,7,She Said She Said,8/5/1966,Revolver,157,Lennon,Lennon,0,,37,38,44,4.25,90,29718530
105,B,1,Good Day Sunshine,8/5/1966,Revolver,129,McCartney,McCartney,0,,89,63,74,3.89,86,54899707
106,B,2,And Your Bird Can Sing,8/5/1966,Revolver,121,Lennon,Lennon,0,,78,13,99,4.23,90,47017880
107,B,3,For No One,8/5/1966,Revolver,121,McCartney,McCartney,0,,40,71,24,4.4,93,90378446
108,B,4,Doctor Robert,8/5/1966,Revolver,135,Lennon,Lennon,0,,,125,77,3.7,82,18313855
109,B,5,I Want to Tell You,8/5/1966,Revolver,149,Harrison,Harrison,0,,,74,129,3.9,86,19346189
110,B,6,Got to Get You into My Life,8/5/1966,Revolver,147,McCartney,McCartney,0,26,50,19,73,4.17,90,62642074
111,B,7,Tomorrow Never Knows,8/5/1966,Revolver,178,Lennon,Lennon,0,50,18,1,7,4.55,94,41083899
112,A,1,Sgt. Pepper's Lonely Hearts Club Band,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,119,McCartney,McCartney,0,,60,89,53,4.28,92,104848464
113,A,2,With a Little Help from My Friends,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,164,Lennon-McCartney,Starr,0,22,61,77,26,4.39,93,143332538
114,A,3,Lucy in the Sky with Diamonds,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,208,Lennon,Lennon,0,39,19,39,21,4.42,94,191667564
115,A,4,Getting Better,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,167,McCartney,McCartney,0,48,,76,66,4.1,89,42885774
116,A,5,Fixing a Hole,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,146,McCartney,McCartney,0,,,135,49,3.95,87,41031598
117,A,6,She's Leaving Home,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,215,McCartney,McCartney,0,,82,35,61,4.18,91,66856873
118,A,7,Being for the Benefit of Mr. Kite!,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,157,Lennon,Lennon,0,,,165,64,3.97,87,23689916
119,B,1,Within You Without You,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,305,Harrison,Harrison,0,,96,103,140,3.86,85,40604557
120,B,2,When I'm Sixty-Four,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,157,McCartney,McCartney,0,,,120,55,3.89,87,99818882
121,B,3,Lovely Rita,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,162,McCartney,McCartney,0,,,140,78,3.9,86,27683607
122,B,4,"Good Morning, Good Morning",6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,161,Lennon,Lennon,0,,,106,95,3.64,81,17147271
123,B,5,Sgt. Pepper's Lonely Hearts Club Band (Reprise),6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,80,McCartney,Lennon-McCartney-Harrison-Starr,0,,,130,52,4.01,88,21603316
124,B,6,A Day in the Life,6/1/1967,Sgt. Pepper's Lonely Hearts Club Band,335,Lennon-McCartney,Lennon-McCartney,0,1,1,2,1,4.73,98,136139298
125,A,1,Magical Mystery Tour,11/27/1967,Magical Mystery Tour,171,McCartney,McCartney,0,,,70,70,4.08,88,29155960
